epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2159.41,1.09158,0.75477,1.40302,0.86348,0.79494,0.87733,0.50136,1.31847,0.72583,1.26398,0.000828443,0.000828443,0.000828443
43,2210.42,1.04254,0.73179,1.38036,0.88321,0.89981,0.94751,0.54476,1.32248,0.65797,1.35654,0.000820525,0.000820525,0.000820525
44,2260.94,1.05563,0.75528,1.395,0.9004,0.9038,0.93685,0.57388,1.18694,0.63211,1.27992,0.000812468,0.000812468,0.000812468
45,2311.59,1.04762,0.74948,1.38549,0.86608,0.91688,0.93544,0.49617,1.45889,0.66363,1.40655,0.000804277,0.000804277,0.000804277
46,2362.29,1.04545,0.74916,1.38424,0.89377,0.89461,0.94912,0.56496,1.21193,0.63968,1.23256,0.000795954,0.000795954,0.000795954
47,2412.85,1.07476,0.74727,1.39374,0.91293,0.91392,0.95777,0.57424,1.24332,0.59827,1.24231,0.000787503,0.000787503,0.000787503
48,2463.65,1.04553,0.73344,1.37778,0.88168,0.88663,0.91836,0.52208,1.33285,0.73291,1.32602,0.000778929,0.000778929,0.000778929
49,2514.2,1.00559,0.70218,1.34254,0.92028,0.90594,0.96385,0.59195,1.21951,0.6042,1.26273,0.000770234,0.000770234,0.000770234
50,2565.17,1.04649,0.7221,1.37042,0.90817,0.92911,0.95697,0.60527,1.14112,0.64313,1.18688,0.000761423,0.000761423,0.000761423
51,2616.16,1.01721,0.73246,1.36341,0.90466,0.94177,0.96158,0.56578,1.25194,0.58883,1.26466,0.0007525,0.0007525,0.0007525
52,2667.13,1.02494,0.72539,1.35466,0.88442,0.87342,0.92551,0.56229,1.18953,0.70741,1.29382,0.000743468,0.000743468,0.000743468
53,2717.5,1.01401,0.69452,1.34811,0.94772,0.91899,0.97058,0.60137,1.20787,0.57128,1.20351,0.000734332,0.000734332,0.000734332
54,2768.1,1.03124,0.7131,1.36438,0.89114,0.89112,0.94178,0.58708,1.15689,0.66531,1.21576,0.000725094,0.000725094,0.000725094
55,2818.79,1.02518,0.70111,1.35811,0.93621,0.86835,0.94466,0.51347,1.40602,0.66473,1.40842,0.000715761,0.000715761,0.000715761
56,2869.39,1.01536,0.68839,1.32678,0.84622,0.89162,0.90954,0.53286,1.2948,0.68853,1.28465,0.000706335,0.000706335,0.000706335
57,2919.96,1.00637,0.69055,1.34484,0.93729,0.93924,0.96969,0.60327,1.15374,0.55547,1.20575,0.00069682,0.00069682,0.00069682
58,2970.58,0.9903,0.67181,1.32831,0.92509,0.90666,0.9679,0.60584,1.18366,0.57671,1.1959,0.000687222,0.000687222,0.000687222
59,3021.51,0.97248,0.66993,1.30584,0.88635,0.93165,0.95354,0.56392,1.27177,0.6359,1.25425,0.000677543,0.000677543,0.000677543
60,3072.31,1.02502,0.69886,1.36264,0.89865,0.94684,0.96221,0.63651,1.06396,0.55717,1.13171,0.000667789,0.000667789,0.000667789
61,3123.25,0.95452,0.64179,1.3162,0.88635,0.92405,0.94375,0.60366,1.10434,0.61156,1.21519,0.000657963,0.000657963,0.000657963
62,3173.77,0.99046,0.67525,1.33218,0.93724,0.89367,0.96197,0.59898,1.15834,0.58951,1.18468,0.000648071,0.000648071,0.000648071
63,3224.38,0.95509,0.64802,1.29946,0.9203,0.89873,0.96473,0.63089,1.08233,0.62832,1.15618,0.000638115,0.000638115,0.000638115
64,3275.06,0.98544,0.68495,1.3373,0.91011,0.91646,0.95537,0.57166,1.21633,0.68329,1.20297,0.000628101,0.000628101,0.000628101
65,3325.39,0.97542,0.66377,1.33195,0.95036,0.90127,0.96155,0.64055,1.06656,0.53034,1.15759,0.000618034,0.000618034,0.000618034
66,3376.28,0.98128,0.65884,1.32675,0.9425,0.913,0.96187,0.64893,1.02521,0.548,1.11677,0.000607916,0.000607916,0.000607916
67,3427.13,0.94426,0.64242,1.29584,0.91052,0.93671,0.95701,0.63226,1.08019,0.568,1.10155,0.000597754,0.000597754,0.000597754
68,3477.68,0.92262,0.62682,1.27701,0.93328,0.92405,0.95999,0.52607,1.42104,0.59243,1.39355,0.000587551,0.000587551,0.000587551
69,3528.22,0.95748,0.6696,1.32005,0.93798,0.87848,0.95637,0.61245,1.16521,0.59142,1.17937,0.000577311,0.000577311,0.000577311
70,3578.69,0.98578,0.68022,1.34614,0.88563,0.90179,0.91867,0.57618,1.17548,0.59825,1.22062,0.00056704,0.00056704,0.00056704
71,3629.54,0.962,0.64543,1.325,0.90975,0.91392,0.95995,0.58185,1.22324,0.57941,1.21801,0.000556742,0.000556742,0.000556742
72,3679.91,0.98689,0.6469,1.3415,0.90039,0.91537,0.93763,0.60921,1.09303,0.56764,1.172,0.000546421,0.000546421,0.000546421
73,3730.26,0.92744,0.64224,1.30684,0.92208,0.90633,0.95325,0.57917,1.25205,0.60545,1.22407,0.000536081,0.000536081,0.000536081
74,3780.91,0.95875,0.63651,1.34575,0.90142,0.91392,0.94882,0.60689,1.13144,0.60376,1.22156,0.000525728,0.000525728,0.000525728
75,3831.45,0.93363,0.62489,1.29987,0.92534,0.94135,0.97309,0.64895,1.05409,0.52712,1.15545,0.000515366,0.000515366,0.000515366
76,3882.51,0.93794,0.62563,1.29718,0.9572,0.9038,0.97254,0.61594,1.1748,0.52644,1.21243,0.000505,0.000505,0.000505
77,3933.09,0.93676,0.63635,1.29151,0.93003,0.90857,0.9573,0.6233,1.08969,0.56905,1.1624,0.000494634,0.000494634,0.000494634
78,3983.7,0.93761,0.64322,1.30036,0.92813,0.94812,0.97756,0.66115,0.99544,0.5218,1.08993,0.000484272,0.000484272,0.000484272
79,4034.75,0.92197,0.61118,1.28668,0.96794,0.91139,0.97163,0.64163,1.06174,0.52014,1.13606,0.000473919,0.000473919,0.000473919
80,4085.48,0.91196,0.5794,1.27552,0.91289,0.92859,0.96263,0.63879,1.07715,0.55673,1.16541,0.000463579,0.000463579,0.000463579
